
acabar,éppen most
acabar,épp befejeztem
soler,gyakran csinálni vmit

regalo,ajándék
diferente,különböző

además,ráadásul
bastante,túlságosan
nervioso,ideges
reglas,szabályok
tráfico,forgalom

család,padre,apa
család,madre,anya
család,hijo,fia
család,hija,lánya
család,hombre,férfi
család,mujer,nő
család,niña,kislány
család,niño,kisfiú
család,hermano,fiútestvér
család,hermana,lánytestvér
család,nieto,fiú unoka
család,nieta,lány unoka


rápido,gyorsan

comprar,vásárolni
trabajar,dolgozni

estropeada,elszakadt
cambiar,cserél
palomitas,popcorn
zumo,lé
laborales,munkahelyi
escolares,iskolai
domésticos,házi

limpiar,takarít
plantar,ültet
flor,növény
firmar,aláír
contrato,szerződés
ganar,nyerni
dinero,pénz
efectivo,készpénz
tarjeta,bankkártya
fregar,elmosogatni
platos,tányérok
mesa,asztal
buscar,keresni
cosa,dolog
tarea,házifeladat
muebles,
polvo,por
gato,macska
perro,kutya
fila,sor
cola,oszlop
examen,vizsga
lugar,hely
barrer,söpörni
suelo,padló
sucio/sucia,koszos
ropa,ruha
limpio,tiszta
poner la mesa,megteríteni
datos,adatok
poner las cosas en su lugar,mindent a helyére tenni
piso,szoba/emelet
cliente,kliens
regar las plantas,öntözni a virágokat
planchar,vasalni
lavar,kimosni
sacar,kivenni
mala hierba,gaz
mala hierba no muere nunca,gaz sose pusztul
redacción,fogalmazás
cama,ágy
hacer,megcsinálni
comprar,vásárolni
preparar,elkészíteni
cena,vacsora
almuerzo,ebéd
desayuno,reggeli
poner la mesa,megteríteni
quitar la mesa,leszedni az asztalterítéket
quedar,maradni
basura,szemét
parece,tűnik
pensar,gondolni
sé,tudni
ser,lenni
estar,lenni
loca,őrült
chacueta,dzseki
díos mio,istenem
recuerdar,emlékezni

intentar,próbáld
cruel,kegyetlen
justo y necesario,pont amennyi szükséges
malvado,gonosz
rebeldes,lázadók
chisme,pletyka
perseguir,utána fut
castigar,megbüntet
monitos de palito,pálikaember

objetos,tárgyak
hereir,örökölni
traer,hozni
venir,jönni
pasión,szenvedély
amor,szeretet
reloj,óra
puntual,pontos
noche,este
reemplazarlo,
encender,bekapcsol
apagar,kikapcsol
collectión,gyűjtemény
tomo,kötet
a la última,utolsó kiadás legmodernebb
aficion,hobbi
dedicar,szánni pl időt vmire
esta manera,és így
pasatiempo,időtöltés
footing,futni
correr,futni
fotografiar,fotózni
montar en biici,biciklizni
monopatín,roller
dibujar,rajzolni
pintar,festeni
colleccionar,gyűjteni
tebeos,képregény
estampilla,bélyeg
billetes extranjeros,külföldi papírpénz
monedas extranjeros,külföldi érmék
grado,szint
vale la pena probar,megéri kipróbálni
desahogarse,kikapcsol
entretienerse,szórakoztat
entusiasmarse,lelkesít
fan, rajongó
cansarse,fáraszt
aburrirse,untat
odio,utálok
nunca,soha
a veces,néha
de vez en cuando,alkalmanként
oportunidad,lehetőség
suelo,gyakran
la mayoría de las veces,gyakran
sobre todo,főleg
tabla de skate,gördeszka
cosiderar,megfontol
espejo,tükör
para colmo,ha még ez nem lenne elég
lío,kupi összevisszaság
amante,szerető
maravilla,csodás
sin duda,kétségtelenül
videojuegos,videójátékok
evitar,elkerülni
tamaño,méretű
guardar,tárolni
caja,doboz
contemplar,megcsodálni
el sótano,pince
áttico,padlás
la buhardilla,padlás
serpiente,kígyó
fobias,fóbiák
miedo de las alturas,tériszony
vértigo,tériszony
marreo,szédülés
marrearse,szédül vki
dolor de (dientes), fáj a (foga)
claustrofobia,klausztrofóbia
desmayarse,elájul
desmayo,elájulás
picar,viszket/megcsíp
rascarse,vakarózni
ser alergia,alergia
estornudar,tüsszenteni
toz,köhögni
toser,köhögés
bostesar,ásítani
tener hipo,csuklik
diarhea,hasmenés
vómito,hányni
presión alta/baja,magas/alacsony vérnyomás
tachicardia,gyors pulzus
tener fiebre,láz
escalofrío,hidegrázás
órganos,szervek
garganta,torok
cabeza,fej
estómago,gyomor
córazon,szív
latir,dobog (a szív)
los pulmones,tüdő
cerebro,agy
riñónes,vese
vejiga,méh
intestino,bél
páncreas,hasnyálmirigy
higado,máj
intestina delgado,vékonybél
intestina grueso,vastagbél
cuerpo,test
picaduras,csípések
