tema,magyar,spanyol

szin,barna,marrón
szin,fehér,blanco
szin,fekete,negro
szin,kék,azul
szin,narancssárga,anaranjado
szin,piros,rojo
szin,rózsaszín,rosado
szin,sárga,amarillo
szin,szürke,gris
szin,zöld,verde
ruha,aguja,varrni
ruha,hilo,tű
ruha,el boton,gomb
ruha,tejer,kötni
ruha,jersey,kötött pulcsi

család,padre,apa
család,madre,anya
család,hijo,fia
család,hija,lánya
család,hombre,férfi
család,mujer,nő
család,niña,kislány
család,niño,kisfiú
család,hermano,fiútestvér
család,hermana,lánytestvér
család,nieto,fiú unoka
család,nieta,lány unoka
